
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,TrackID,ID,
0.355854,0.355854,0.711707,µm,Spot,Diameter,9,1000000000,0,
0.464967,0.464967,0.929933,µm,Spot,Diameter,9,1000000000,1,
0.396625,0.396625,0.793251,µm,Spot,Diameter,10,1000000002,2,
0.605361,0.605361,1.21072,µm,Spot,Diameter,10,1000000000,3,
0.513228,0.513228,1.02646,µm,Spot,Diameter,11,1000000002,4,
0.733819,0.733819,1.46764,µm,Spot,Diameter,11,1000000000,5,
0.727324,0.727324,1.45465,µm,Spot,Diameter,12,1000000000,6,
0.470251,0.470251,0.940501,µm,Spot,Diameter,12,1000000002,7,
0.151342,0.151342,0.302685,µm,Spot,Diameter,13,1000000002,8,
0.704792,0.704792,1.40958,µm,Spot,Diameter,13,1000000000,9,
0.538302,0.538302,1.0766,µm,Spot,Diameter,13,1000000002,10,
0.64105,0.64105,1.2821,µm,Spot,Diameter,14,1000000002,11,
0.744394,0.744394,1.48879,µm,Spot,Diameter,14,1000000000,12,
0.748541,0.748541,1.49708,µm,Spot,Diameter,15,1000000000,13,
0.657495,0.657495,1.31499,µm,Spot,Diameter,15,1000000002,14,
0.7402,0.7402,1.4804,µm,Spot,Diameter,16,1000000000,15,
0.38914,0.38914,0.77828,µm,Spot,Diameter,16,1000000002,16,
0.620732,0.620732,1.24146,µm,Spot,Diameter,16,1000000002,17,
0.746473,0.746473,1.49295,µm,Spot,Diameter,17,1000000000,18,
0.695362,0.695362,1.39072,µm,Spot,Diameter,17,1000000002,19,
0.774441,0.774441,1.54888,µm,Spot,Diameter,18,1000000000,20,
0.69055,0.69055,1.3811,µm,Spot,Diameter,18,1000000002,21,
0.770569,0.770569,1.54114,µm,Spot,Diameter,19,1000000000,22,
0.683203,0.683203,1.36641,µm,Spot,Diameter,19,1000000002,23,
0.768618,0.768618,1.53724,µm,Spot,Diameter,20,1000000000,24,
0.592477,0.592477,1.18495,µm,Spot,Diameter,20,1000000002,25,
