
Shortest Distance to Surfaces Surfaces=MCP
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,TrackID,ID,
-0.286843,,Spot,MCP,1,1000000000,0,
-0.317252,,Spot,MCP,1,1000000001,1,
-0.0467353,,Spot,MCP,2,1000000000,2,
-0.258367,,Spot,MCP,2,1000000001,3,
-0.021807,,Spot,MCP,3,1000000000,4,
-0.208398,,Spot,MCP,3,1000000001,5,
-0.369704,,Spot,MCP,4,1000000000,6,
-0.235624,,Spot,MCP,4,1000000001,7,
-0.364213,,Spot,MCP,5,1000000000,8,
-0.156615,,Spot,MCP,5,1000000000,9,
-0.289376,,Spot,MCP,5,1000000001,10,
-0.17535,,Spot,MCP,6,1000000001,11,
-0.339545,,Spot,MCP,6,1000000000,12,
-0.261887,,Spot,MCP,7,1000000000,13,
-0.323437,,Spot,MCP,7,1000000001,14,
-0.278664,,Spot,MCP,8,1000000000,15,
-0.229627,,Spot,MCP,8,1000000000,16,
-0.0191529,,Spot,MCP,10,1000000000,17,
-0.153711,,Spot,MCP,11,1000000000,18,
-0.0600909,,Spot,MCP,13,1000000001,19,
-0.253949,,Spot,MCP,13,1000000001,20,
-0.0340912,,Spot,MCP,13,1000000000,21,
-0.0674666,,Spot,MCP,14,1000000001,22,
-0.113821,,Spot,MCP,14,1000000001,23,
-0.338319,,Spot,MCP,14,1000000000,24,
-0.290242,,Spot,MCP,14,1000000000,25,
-0.198194,,Spot,MCP,15,1000000001,26,
-0.00238884,,Spot,MCP,15,1000000001,27,
-0.206518,,Spot,MCP,15,1000000000,28,
-0.276306,,Spot,MCP,15,1000000000,29,
-0.116458,,Spot,MCP,16,1000000001,30,
-0.184177,,Spot,MCP,16,1000000001,31,
-0.316828,,Spot,MCP,16,1000000000,32,
-0.198557,,Spot,MCP,17,1000000001,33,
-0.16697,,Spot,MCP,17,1000000001,34,
-0.396751,,Spot,MCP,17,1000000000,35,
-0.205781,,Spot,MCP,18,1000000001,36,
-0.165308,,Spot,MCP,18,1000000001,37,
-0.360843,,Spot,MCP,18,1000000000,38,
-0.224477,,Spot,MCP,19,1000000001,39,
-0.247677,,Spot,MCP,19,1000000001,40,
-0.410564,,Spot,MCP,19,1000000000,41,
-0.283625,,Spot,MCP,20,1000000001,42,
-0.104606,,Spot,MCP,20,1000000001,43,
-0.391894,,Spot,MCP,20,1000000000,44,
